Total memory,15.87 GB
Available memory,6.2 GB
In use memory,9.68 GB
Memory usage,6.2%
#################### MEMORY STATS 15/12/2022 00:39:38 ####################
Total memory,15.87 GB
Available memory,6.18 GB
In use memory,9.69 GB
Memory usage,6.18%
#################### MEMORY STATS 15/12/2022 00:39:40 ####################
Total memory,15.87 GB
Available memory,6.18 GB
In use memory,9.69 GB
Memory usage,6.18%
#################### MEMORY STATS 15/12/2022 00:39:41 ####################
Total memory,15.87 GB
Available memory,6.18 GB
In use memory,9.69 GB
Memory usage,6.18%
#################### MEMORY STATS 15/12/2022 00:39:42 ####################
Total memory,15.87 GB
Available memory,6.18 GB
In use memory,9.69 GB
Memory usage,6.18%
#################### MEMORY STATS 15/12/2022 00:39:43 ####################
Total memory,15.87 GB
Available memory,6.17 GB
In use memory,9.7 GB
Memory usage,6.17%
#################### MEMORY STATS 15/12/2022 00:39:45 ####################
Total memory,15.87 GB
Available memory,6.14 GB
In use memory,9.73 GB
Memory usage,6.14%
#################### MEMORY STATS 15/12/2022 00:39:46 ####################
Total memory,15.87 GB
Available memory,6.15 GB
In use memory,9.72 GB
Memory usage,6.15%
#################### MEMORY STATS 15/12/2022 00:39:47 ####################
Total memory,15.87 GB
Available memory,6.15 GB
In use memory,9.72 GB
Memory usage,6.15%
#################### MEMORY STATS 15/12/2022 00:39:49 ####################
Total memory,15.87 GB
Available memory,6.14 GB
In use memory,9.73 GB
